COUNTRY,TotalFertilityRate_EstFertilityRate_num_2024
Afghanistan,4.43
Albania,1.55
Algeria,2.94
American Samoa,2.06
Andorra,1.47
Angola,5.7
Anguilla,1.72
Antigua and Barbuda,1.93
Argentina,2.15
Armenia,1.65
Aruba,1.82
Australia,1.73
Austria,1.52
Azerbaijan,1.69
Bahamas,1.44
Bahrain,1.65
Bangladesh,2.07
Barbados,1.7
Belarus,1.45
Belgium,1.76
Belize,2.05
Benin,5.34
Bermuda,1.88
Bhutan,1.76
Bolivia,2.2
Bosnia and Herzegovina,1.38
Botswana,2.34
Brazil,1.74
British Virgin Islands,1.38
Brunei,1.73
Bulgaria,1.51
Burkina Faso,4.02
Burundi,4.9
Cambodia,2.17
Cameroon,4.44
Canada,1.58
Cape Verde,2.1
Cayman Islands,1.82
Central African Republic,3.94
Chad,5.24
Chile,1.75
China,1.55
Colombia,1.94
Comoros,2.61
Cook Islands,2.02
Costa Rica,1.43
Croatia,1.46
Cuba,1.71
Curacao,1.96
Cyprus,1.49
Czech Republic,1.73
DR Congo,5.49
Denmark,1.77
Djibouti,2.11
Dominica,2.01
Dominican Republic,2.15
Ecuador,2.21
Egypt,2.65
El Salvador,2.02
Equatorial Guinea,4.12
Eritrea,3.43
Estonia,1.62
Eswatini,2.37
Ethiopia,3.84
Faroe Islands,2.27
Fiji,2.21
Finland,1.74
France,1.9
French Polynesia,1.79
Gabon,3.21
Gambia,3.52
Georgia,1.95
Germany,1.58
Ghana,3.56
Gibraltar,1.89
Greece,1.41
Greenland,1.88
Grenada,1.9
Guam,2.73
Guatemala,2.52
Guernsey,1.59
Guinea,4.78
Guinea-Bissau,4.62
Guyana,2.05
Haiti,2.44
Honduras,2.33
Hong Kong,1.24
Hungary,1.6
Iceland,1.94
India,2.03
Indonesia,1.96
Iran,1.91
Iraq,3.1
Ireland,1.72
Isle of Man,1.88
Israel,2.92
Italy,1.26
Ivory Coast,3.4
Jamaica,2.05
Japan,1.4
Jersey,1.66
Jordan,2.87
Kazakhstan,2.58
Kenya,3.16
Kiribati,2.15
Kuwait,2.21
Kyrgyzstan,2.45
Laos,2.24
Latvia,1.55
Lebanon,1.71
Lesotho,2.85
Liberia,3.93
Libya,3
Liechtenstein,1.69
Lithuania,1.62
Luxembourg,1.63
Macau,1.24
Madagascar,3.47
Malawi,3.19
Malaysia,1.73
Maldives,1.7
Mali,5.35
Malta,1.51
Marshall Islands,2.67
Mauritania,3.4
Mauritius,1.36
Mexico,1.79
Micronesia,2.19
Moldova,1.26
Monaco,1.54
Mongolia,1.87
Montenegro,1.8
Montserrat,1.33
Morocco,2.25
Mozambique,4.66
Myanmar,1.97
Namibia,2.89
Nauru,2.55
Nepal,1.85
Netherlands,1.61
New Caledonia,1.83
New Zealand,1.85
Nicaragua,1.83
Niger,6.64
Nigeria,4.52
North Korea,1.81
North Macedonia,1.53
Northern Mariana Islands,2.56
Norway,1.57
Oman,2.64
Pakistan,3.32
Palau,1.7
Panama,2.35
Papua New Guinea,3.79
Paraguay,1.88
Peru,2.15
Philippines,2.75
Poland,1.32
Portugal,1.45
Puerto Rico,1.26
Qatar,1.9
Republic of the Congo,3.79
Romania,1.63
Russia,1.52
Rwanda,3.14
Saint Barthelemy,1.64
Saint Kitts and Nevis,1.76
Saint Lucia,1.71
Saint Martin,1.8
Saint Pierre and Miquelon,1.6
Saint Vincent and the Grenadines,1.74
Samoa,2.33
San Marino,1.54
Sao Tome and Principe,3.31
Saudi Arabia,1.87
Senegal,4.06
Serbia,1.46
Seychelles,1.81
Sierra Leone,3.61
Singapore,1.17
Sint Maarten,1.97
Slovakia,1.6
Slovenia,1.6
Solomon Islands,2.77
Somalia,5.12
South Africa,2.27
South Korea,1.12
South Sudan,5.09
Spain,1.3
Sri Lanka,2.13
Sudan,4.47
Suriname,1.89
Sweden,1.67
Switzerland,1.59
Syria,2.69
Taiwan,1.11
Tajikistan,3.56
Tanzania,4.27
Thailand,1.54
Timor-Leste,3.98
Togo,4.13
Tonga,2.65
Trinidad and Tobago,1.63
Tunisia,1.93
Turkey,1.9
Turkmenistan,2.02
Turks and Caicos Islands,1.7
Tuvalu,2.78
Uganda,5.17
Ukraine,1.22
United Arab Emirates,1.61
United Kingdom,1.63
United States,1.84
United States Virgin Islands,1.97
Uruguay,1.75
Uzbekistan,2.76
Vanuatu,2.53
Venezuela,2.18
Vietnam,2.03
Wallis and Futuna,1.71
Yemen,2.82
Zambia,4.42
Zimbabwe,3.47
